metric_name,timestamp,metric_value,check,error,error_code,expected_response,group,method,name,proto,scenario,service,status,subproto,tls_version,url,extra_tags,metadata
http_req_sending,1789880719,0.227402,,,,true,,POST,http://54.224.18.26:3000/bookings,HTTP/1.1,booking_load,,200,,,http://54.224.18.26:3000/bookings,,
http_req_waiting,1789880719,207.323160,,,,true,,POST,http://54.224.18.26:3000/bookings,HTTP/1.1,booking_load,,200,,,http://54.224.18.26:3000/bookings,,
http_req_receiving,1789880719,0.148769,,,,true,,POST,http://54.224.18.26:3000/bookings,HTTP/1.1,booking_load,,200,,,http://54.224.18.26:3000/bookings,,
http_req_failed,1789880719,0.000000,,,,true,,POST,http://54.224.18.26:3000/bookings,HTTP/1.1,booking_load,,200,,,http://54.224.18.26:3000/bookings,,
checks,1789880719,1.000000,booking did not 5xx,,,,,,,,booking_load,,,,,,,
http_reqs,1789880720,1.000000,,,,true,,GET,http://54.224.18.26:3000/spaces/search?start_time=2026-09-23T04:54:13.742Z&end_time=2026-09-23T08:54:13.742Z,HTTP/1.1,search_traffic,,200,,,http://54.224.18.26:3000/spaces/search?start_time=2026-09-23T04:54:13.742Z&end_time=2026-09-23T08:54:13.742Z,,
http_req_duration,1789880720,397.041352,,,,true,,GET,http://54.224.18.26:3000/spaces/search?start_time=2026-09-23T04:54:13.742Z&end_time=2026-09-23T08:54:13.742Z,HTTP/1.1,search_traffic,,200,,,http://54.224.18.26:3000/spaces/search?start_time=2026-09-23T04:54:13.742Z&end_time=2026-09-23T08:54:13.742Z,,
http_req_blocked,1789880720,0.004690,,,,true,,GET,http://54.224.18.26:3000/spaces/search?start_time=2026-09-23T04:54:13.742Z&end_time=2026-09-23T08:54:13.742Z,HTTP/1.1,search_traffic,,200,,,http://54.224.18.26:3000/spaces/search?start_time=2026-09-23T04:54:13.742Z&end_time=2026-09-23T08:54:13.742Z,,
http_req_connecting,1789880720,0.000000,,,,true,,GET,http://54.224.18.26:3000/spaces/search?start_time=2026-09-23T04:54:13.742Z&end_time=2026-09-23T08:54:13.742Z,HTTP/1.1,search_traffic,,200,,,http://54.224.18.26:3000/spaces/search?start_time=2026-09-23T04:54:13.742Z&end_time=2026-09-23T08:54:13.742Z,,
http_req_tls_handshaking,1789880720,0.000000,,,,true,,GET,http://54.224.18.26:3000/spaces/search?start_time=2026-09-23T04:54:13.742Z&end_time=2026-09-23T08:54:13.742Z,HTTP/1.1,search_traffic,,200,,,http://54.224.18.26:3000/spaces/search?start_time=2026-09-23T04:54:13.742Z&end_time=2026-09-23T08:54:13.742Z,,
